CODE,STATE,CITY
AB,Abia,Aba
AB,Abia,Ohafia
AB,Abia,Abiriba
AB,Abia,Aba South
AB,Abia,Aba North
AB,Abia,Arochukwu
AB,Abia,Isuikwuato
AB,Abia,Isala Ngwa North
AB,Abia,Umuahia
AB,Abia,Osisioma Ngwa
AB,Abia,Obi Ngwa
AB,Abia,Ukwa West
AB,Abia,Bende
AB,Abia,Ugwunagbo
AB,Abia,Ikwuano
AB,Abia,Alayi
AB,Abia,Ubakala
AB,Abia,Nsirimo
AB,Abia,Ozu Abam
AB,Abia,Umudike
AB,Abia,Umukabia
AB,Abia,Ihite
AB,Abia,Akwete
AB,Abia,Amuvi
AB,Abia,Owerrinta
AB,Abia,Okigwe
AB,Abia,Azumini
AD,Adamawa,Demsa
AD,Adamawa,Fufore
AD,Adamawa,Ganye
AD,Adamawa,Girei
AD,Adamawa,Gombe
AD,Adamawa,Guyuk
AD,Adamawa,Hong
AD,Adamawa,Jada
AD,Adamawa,Lamurde
AD,Adamawa,Madagali
AD,Adamawa,Maiga
AD,Adamawa,Mayo-Belwa
AD,Adamawa,Michika
AD,Adamawa,Mubi North
AD,Adamawa,Mubi South
AD,Adamawa,Numan
AD,Adamawa,Shelleng
AD,Adamawa,Song
AD,Adamawa,Toungo
AD,Adamawa,Yola North
AD,Adamawa,Yola South
AK,Akwa Ibom,Uyo
AK,Akwa Ibom,Eket
AK,Akwa Ibom,Oruk Anam
AK,Akwa Ibom,Uruan
AK,Akwa Ibom,Ikot Ekpene
AK,Akwa Ibom,Itu
AK,Akwa Ibom,Mkpat-Enin
AK,Akwa Ibom,Udung-Uko
AK,Akwa Ibom,Oron
AK,Akwa Ibom,Ibeno
AK,Akwa Ibom,Etinan
AK,Akwa Ibom,Abak
AK,Akwa Ibom,Ikot-Abasi
AK,Akwa Ibom,Ibiono-Ibom
AK,Akwa Ibom,Ukanafun
AK,Akwa Ibom,Urue-Offong/Oruko
AK,Akwa Ibom,Obot-Akara
AK,Akwa Ibom,Okobo
AK,Akwa Ibom,Onna
AK,Akwa Ibom,Ikono
AK,Akwa Ibom,Nsit-Atai
AK,Akwa Ibom,Etim Ekpo
AK,Akwa Ibom,Nsit-Ibom
AK,Akwa Ibom,Esit Eket
AK,Akwa Ibom,Eastern Obolo
AK,Akwa Ibom,Essien Udim
AK,Akwa Ibom,Nsit-Ubium
AK,Akwa Ibom,Mbo
AK,Akwa Ibom,Ini
AK,Akwa Ibom,Ika
AK,Akwa Ibom,Ikot Afaha
AK,Akwa Ibom,Idu
AK,Akwa Ibom,Ikot Udo Abia
AK,Akwa Ibom,Ikot Ukpong
AK,Akwa Ibom,Arochuckwu
AK,Akwa Ibom,Ikot Okoro
AK,Akwa Ibom,Ekpene Ukim
AK,Akwa Ibom,Ikot Ibritam
AK,Akwa Ibom,Eman Ikot Ebo
AN,Anambra,Onitsha
AN,Anambra,Awka
AN,Anambra,Nnewi
AN,Anambra,Enugu Ukwu
AN,Anambra,Ihiala
AN,Anambra,Abagana
AN,Anambra,Anambra East
AN,Anambra,Amawbia
AN,Anambra,Agulu
AN,Anambra,Obosi
AN,Anambra,Atani
AN,Anambra,Ekwulobia
AN,Anambra,Awka-Etiti
AN,Anambra,Igbo-Ukwu
AN,Anambra,Ozubulu
AN,Anambra,Orumba North
AN,Anambra,Aguleri
AN,Anambra,Alor
AN,Anambra,Ogidi
AN,Anambra,Nsugbe
AN,Anambra,Oba
AN,Anambra,Ayamelum
AN,Anambra,Umudioka
AN,Anambra,Umuchu
AN,Anambra,Ogbaru
AN,Anambra,Okija
AN,Anambra,Anambra West
AN,Anambra,Umuleri
AN,Anambra,Idemili North
AN,Anambra,Aguata
AN,Anambra,Nkpor
AN,Anambra,Nibo
AN,Anambra,Nzam
AN,Anambra,Adazi-Nnukwu
AN,Anambra,Umunya
AN,Anambra,Awkuzu
AN,Anambra,Awka South
AN,Anambra,Uga
AN,Anambra,Anaocha
AN,Anambra,Ekwusigo
AN,Anambra,Onitsha North
AN,Anambra,Dunukofia
AN,Anambra,Umunze
AN,Anambra,Nnewi South
AN,Anambra,Achina
AN,Anambra,Ogbunike
AN,Anambra,Abatete
AN,Anambra,Oraukwu
AN,Anambra,Ezira
AN,Anambra,Otuocha
AN,Anambra,Awka North
BA,Bauchi,Bauchi
BA,Bauchi,Misau
BA,Bauchi,Jama'are
BA,Bauchi,Alkaleri
BA,Bauchi,Ningi
BA,Bauchi,Katagum
BA,Bauchi,Kirfi
BA,Bauchi,Bogoro
BA,Bauchi,Ganjuwa
BA,Bauchi,Darazo
BA,Bauchi,Tafawa Balewa
BA,Bauchi,Giade
BA,Bauchi,Itas/Gadau
BA,Bauchi,Damban
BA,Bauchi,Warji
BA,Bauchi,Gamawa
BA,Bauchi,Azare
BA,Bauchi,Toro
BA,Bauchi,Dass
BA,Bauchi,Zaki
BA,Bauchi,Disina
BA,Bauchi,Zadawa
BY,Bayelsa,Ogbia
BY,Bayelsa,Nembe
BY,Bayelsa,Kolokuma/Opokuma
